2025-12-11 14:23:01 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 14:24:22 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 14:24:27 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 14:26:18 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 14:26:18 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 14:26:18 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-11 14:26:18 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-11 14:26:18 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-11 14:26:18 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-11 14:26:18 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-11 14:26:18 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-11 14:26:18 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-11 14:26:18 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-11 14:26:18 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-11 14:30:26 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 14:30:26 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 14:30:26 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-11 14:30:26 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-11 14:30:26 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-11 14:30:26 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-11 14:30:26 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-11 14:30:26 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-11 14:30:26 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-11 14:30:26 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-11 14:30:26 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-11 15:09:27 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 15:09:27 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 15:09:27 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-11 15:09:27 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-11 15:09:27 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-11 15:09:27 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-11 15:09:27 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-11 15:09:27 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-11 15:09:27 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-11 15:09:27 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-11 15:09:27 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
2025-12-11 15:09:43 | INFO     | Checksum | Logger 'Checksum' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 15:09:43 | INFO     | CoreService | Logger 'CoreService' został zainicjalizowany - zapisywanie do pliku: logs/backup_log_2025-12-11.log
2025-12-11 15:09:43 | INFO     | CoreService | Połączono z bazą danych: backup_data.db
2025-12-11 15:09:43 | DEBUG    | CoreService | Tabela 'backups' została utworzona lub już istnieje.
2025-12-11 15:09:43 | DEBUG    | CoreService | Tabela 'backup_profiles' została utworzona lub już istnieje
2025-12-11 15:09:43 | INFO     | CoreService | MailNotifier zainicjalizowany
2025-12-11 15:09:43 | INFO     | CoreService | BackupManager zainicjowany. Folder backupów: backups
2025-12-11 15:09:43 | ERROR    | CoreService | enable_drive_upload=True, ale brak modułu cloud_storage / wymaganych paczek Google API.
2025-12-11 15:09:43 | INFO     | CoreService | RestoreManager zainicjalizowany. Folder przywracania: restored_files
2025-12-11 15:09:43 | ERROR    | CoreService | RostoreManager: enable_drive_upload=True, ale brak modułu cloud_storage / paczek Google API.
2025-12-11 15:09:43 | INFO     | CoreService | BackupScheduler zainicjalizowany (tryb: daily)
